,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
31,22021,1610612742,DAL,Dallas Mavericks,0022100755,2022-01-30,DAL @ ORL,L,240,108,39,81,0.481,16,38,0.421,14,18,0.778,7,33,40,22,9,4,18,19,-2.0
32,22021,1610612742,DAL,Dallas Mavericks,0022100746,2022-01-29,DAL vs. IND,W,237,132,51,96,0.531,16,34,0.471,14,22,0.636,11,35,46,31,8,7,5,19,27.0
33,22021,1610612742,DAL,Dallas Mavericks,0022100732,2022-01-26,DAL @ POR,W,238,132,48,88,0.545,16,36,0.444,20,26,0.769,6,39,45,35,6,6,8,21,20.0
34,22021,1610612742,DAL,Dallas Mavericks,0022100720,2022-01-25,DAL @ GSW,L,240,92,32,91,0.352,10,40,0.25,18,18,1.0,10,29,39,17,9,4,11,17,-38.0
35,22021,1610612742,DAL,Dallas Mavericks,0022100705,2022-01-23,DAL vs. MEM,W,242,104,36,74,0.486,9,30,0.3,23,31,0.742,9,33,42,22,10,12,15,23,13.0
36,22021,1610612742,DAL,Dallas Mavericks,0022100682,2022-01-20,DAL vs. PHX,L,239,101,37,85,0.435,11,37,0.297,16,20,0.8,10,40,50,19,1,3,19,22,-8.0
37,22021,1610612742,DAL,Dallas Mavericks,0022100675,2022-01-19,DAL vs. TOR,W,239,102,37,76,0.487,9,33,0.273,19,20,0.95,10,35,45,23,5,0,16,20,4.0
38,22021,1610612742,DAL,Dallas Mavericks,0022100663,2022-01-17,DAL vs. OKC,W,242,104,35,88,0.398,12,37,0.324,22,28,0.786,11,36,47,28,10,7,11,19,2.0
39,22021,1610612742,DAL,Dallas Mavericks,0022100650,2022-01-15,DAL vs. ORL,W,239,108,32,78,0.41,12,34,0.353,32,38,0.842,12,35,47,16,6,3,9,18,16.0
40,22021,1610612742,DAL,Dallas Mavericks,0022100639,2022-01-14,DAL @ MEM,W,240,112,47,91,0.516,8,32,0.25,10,16,0.625,8,44,52,30,8,1,13,19,27.0
41,22021,1610612742,DAL,Dallas Mavericks,0022100622,2022-01-12,DAL @ NYK,L,238,85,32,78,0.41,8,37,0.216,13,19,0.684,5,34,39,16,6,2,13,18,-23.0
